"679","10 Rules for Sleeping Around"
"680","12 Dates of Christmas"
"681","12 Dog Days Till Christmas "
"682","13 Assassins"
"685","3000 Miles to Graceland"
"689","A Christmas Kiss II "
"691","A Gang Story "
"692","A Little Bit of Heaven"
"698","Alice Through the Looking Glass"
"699","Alive "
"700","All I Want for Christmas"
"702","Alpha & Omega: Journey to Bear Kingdom"
"715","Anastasia"
"721","Aziz Ansari: Dangerously Delicious"
"723","Baby’s Day Out"
"724","Back to the Secret Garden"
"731","Beauty & the Briefcase "
"732","Bedazzled"
"739","Believe "
"750","Bridget Jones’s Diary"
"756","Brubaker"
"759","Cadet Kelly "
"761","Camp Rock "
"762","Camp Rock 2: The Final Jam"
"763","Can’t Buy Me Love "
"774","Che: Parts 1 & 2"
"776","Chloe"
"777","Christmas Belle"
"779","City of God: 10 Years Later"
"780","Cocktail"
"782","Convergence "
"786","Cousin Bette"
"787","Cow Belles "
"790","Curious George 3: Back to the Jungle"
"791","Cyberbully"
"792","Daddy Day Care "
"794","Day Watch "
"797","Desk Set "
"804","Dragonheart: The Shadowed Claw"
"810","Enquiring Minds "
"812","Enter the Battlefield "
"817","Eyewitness"
"819","Fantasia "
"820","Fantasia 2000 "
"821","FernGully: The Last Rainforest"
"824","First Response"
"826","Forget and Forgive"
"829","Four Brothers "
"830","Freakonomics"
"832","Frenemies "
"835","Geek Charming "
"836","Get Rich or Die Tryin’"
"838","Glitch"
"839","Good Luck Charlie: It’s Christmas "
"848","Hannah Montana: The Movie"
"849","Hannibal Buress: Animal Furnace"
"850","Hannibal Buress: Live from Chicago"
"852","Hard Candy"
"853","Hard Candy "
"855","Hatched"
"856","Heavyweights"
"857","Hello Sister, Goodbye Life"
"858","Help, I’ve Shrunk the Family"
"859","High School Musical"
"860","High School Musical 2"
"862","Hoffa"
"864","Honeymoon"
"867","How to Steal a Million"
"869","Hurricane of Fun: The Making of Wet Hot"
"873","In Like Flint"
"879","Jackass Presents: Bad Grandpa .5"
"880","Jane Got a Gun"
"888","Joan Rivers: Don’t Start With Me"
"891","Jump In! "
"898","Lemonade Mouth "
"899","Less Than Zero "
"926","Mona Lisa Smile "
"928","More Than a Game "
"929","My Fake Fiancé "
"932","Neerja"
"935","Nightcrawler"
"937","On Golden Pond"
"938","Open Season: Scared Silly "
"940","Out of the Dark"
"944","Perfect Stranger"
"945","Phineas and Ferb the Movie: Across the 2nd Dimension"
"949","Pirates of the Caribbean: The Curse of the Black Pearl"
"953","Princess Kaiulani"
"954","Princess Protection Program"
"955","Princess: A Modern Fairytale"
"960","Read It and Weep "
"962","Rebelde"
"965","Revenge of the Bridesmaids "
"967","Rugrats Go Wild"
"974","Saw "
"975","Saw II "
"976","Saw III "
"977","Saw IV "
"979","Saw VI "
"980","Saw: The Final Chapter"
"986","Serena"
"989","Sharpay’s Fabulous Adventure"
"994","Sky High"
"996","Small Is Beautiful: A Tiny House Documentary"
"999","Someone Like You "
"1000","Somewhere Only We Know"
"1004","Standby"
"1006","StarStruck "
"1007","Steve Jobs: One Last Thing"
"1008","Stranger by the Lake"
"1010","Super"
"1011","Super Size Me"
"1014","Teen Spirit"
"1023","﻿The Awakening"
"1027","The Brothers"
"1032","The Chase"
"1033","The Cheetah Girls "
"1034","The Cheetah Girls 2"
"1035","The Cheetah Girls: One World "
"1042","The Den"
"1045","The Desert Fox: The Story of Rommel "
"1053","The Fury"
"1054","The Gambler"
"1057","The Good Son "
"1058","The Gospel Road: A Story of Jesus"
"1059","The Great Gatsby"
"1062","The Host"
"1063","The Host"
"1064","The Human Centipede: First Sequence"
"1067","The Inn of the Sixth Happiness "
"1071","The Legend of Hell House"
"1075","The Man with One Red Shoe "
"1076","The Manhattan Project "
"1082","The Newton Boys"
"1089","The Queen of Versailles"
"1090","The Rite"
"1099","The Switch "
"1101","The Trials of Muhammad Ali"
"1102","The Warlords"
"1110","Three Coins in the Fountain "
"1113","To Wong Foo, Thanks for Everything! Julie Newmar"
"1121","Trigger Point"
"1124","Two Girls and a Guy"
"1125","Two Wrongs"
"1130","V/H/S: Viral"
"1131","VHS"
"1133","Victoria"
"1143","Wendy Wu: Homecoming Warrior"
"1146","White Chicks "
"1148","Wild Hogs"
"1150","Wizards of Waverly Place: The Movie"
"1151","xXx"
"1153","Young Mr. Lincoln"
"1158","10 Things I Hate About You"
"1159","10.0 Earthquake"
"1160","100 Below Zero"
"1162","11 Blocks"
"1167","30 for 30: Bernie and Ernie"
"1168","30 for 30: Jordan Rides the Bus"
"1169","30 for 30: No Crossover: The Trial of Allen Iverson"
"1170","30 for 30: Once Brothers"
"1171","30 for 30: Requiem for the Big East"
"1172","30 for 30: The Day the Series Stopped"
"1173","30 for 30: The Price of Gold"
"1174","30 for 30: Winning Time: Reggie Miller vs. The New York Knicks"
"1175","30 for 30: Without Bias"
"1177","360"
"1178","4:44: Last Day on Earth"
"1180","6 Guns"
"1182","9/11: Stories in Fragments"
"1185","A Fantastic Fear of Everything"
"1187","A Girl Walks Into a Bar"
"1188","A Late Quartet"
"1190","A Love in Times of Selfies"
"1193","A Nightmare on Elm Street 2: Freddy’s Revenge"
"1194","A Pope For Everyone"
"1195","A Royal Affair"
"1197","A Wrinkle in Time"
"1198","A.C.O.D. "
"1199","About a Boy"
"1201","Addams Family Values"
"1202","Adventures of Pepper and Paula"
"1203","Agent Cody Banks 2: Destination London"
"1204","Agent F.O.X."
"1205","Alexandria"
"1208","All About Eve"
"1209","All American Christmas Carol"
"1210","All Stars Pup "
"1211","All That Glitters"
"1212","Allegiance "
"1214","Almost Famous"
"1215","Almost Famous"
"1216","Along Came a Spider"
"1219","Alpha and Omega 2: A Howl-iday Adventure"
"1220","Alpha and Omega 3: The Great Wolf Games"
"1221","Alpha and Omega: The Legend of the Saw Tooth Cave"
"1224","Alvin and the Chipmunks Meet the Wolfman"
"1225","Alvin and the Chipmunks Meet the Wolfman"
"1228","America in Primetime"
"1229","America’s Secret D-Day Disaster"
"1238","American Masters: Billie Jean King"
"1243","American Psycho"
"1244","American Psycho 2"
"1245","American Wedding"
"1247","An American Girl: Saige Paints the Sky "
"1249","An Unmarried Woman"
"1250","Analyze That"
"1251","Analyze This"
"1252","Anchorman 2: The Legend Continues"
"1253","Anchors Aweigh"
"1256","Angela’s Ashes"
"1258","Angus, Thongs and Perfect Snogging"
"1262","Another Gay Movie"
"1264","Anywhere But Here"
"1265","Apocalypse Now"
"1267","Arn: The Knight Templar"
"1268","Around the World in 80 Days: Special Edition"
"1270","Ashby "
"1272","Atlantis: The Lost Empire"
"1273","Author! Author!"
"1275","B for Boy "
"1279","Baby’s Day Out"
"1284","Bad Johnson"
"1289","Bandslam"
"1290","Bang Bang!"
"1293","Barfi!"
"1300","Becoming Chaz"
"1301","Bel Ami"
"1302","Bella"
"1304","Benny and Joon"
"1305","Berkeley in the Sixties"
"1307","Best Kept Secret"
"1316","Beware of Mr. Baker"
"1318","Beyond Borders"
"1320","Beyond the Hills"
"1324","Bill & Ted’s Excellent Adventure"
"1325","Bill Cunningham New York"
"1327","Black Hawk Down"
"1328","Black Hawk Down"
"1329","Black Mamba: Kiss of Death"
"1333","Black Wings"
"1334","Blade 2"
"1335","Blade Runner: Theatrical Cut"
"1337","Blitz"
"1338","Blondie’s New York"
"1339","Blue Crush"
"1340","Bob Saget: That’s What I’m Talkin’ About"
"1343","Bombay Velvet "
"1344","Bombs, Bullets and Fraud"
"1347","Born to Defense "
"1348","Bottle Shock"
"1350","Bowfinger"
"1351","Boy "
"1352","Boys of Abu Ghraib"
"1353","Bratz Kidz: Fairy Tales"
"1354","Bratz the Video: Starrin’ & Stylin’"
"1355","Bratz: Babyz: The Movie "
"1356","Bratz: BFF: Best Friends Forever"
"1357","Bratz: Desert Jewelz"
"1358","Bratz: Diamondz"
"1359","Bratz: Friendship Is Always in Style"
"1360","Bratz: Genie Magic"
"1361","Bratz: Good Vibes"
"1362","Bratz: Pampered Petz"
"1363","Bratz: Rock Angelz"
"1364","Bratz: Super Babyz "
"1369","Breaking the Girls"
"1370","Breath of the Gods"
"1372","Brian’s Song ("
"1375","Bridget Jones’s Diary"
"1378","Broadway Idiot"
"1379","Bronies: The Extremely Unexpected Adult Fans of My Little Pony"
"1380","Brothers in War "
"1381","Brüno "
"1383","Bulworth"
"1384","Burning Man"
"1385","Bus Stop"
"1386","Butch Cassidy and the Sundance Kid"
"1388","C.O.G."
"1390","Call Me Crazy: A Five Film"
"1391","Camp Takota"
"1392","Can’t Hardly Wait"
"1394","Care Bears: Big Wish Movie"
"1395","Care Bears: Journey to Joke-­a-­Lot"
"1396","Carmen Jones"
"1397","Carousel"
"1403","Charlie Bartlett"
"1405","Charlie’s Angels: Full Throttle"
"1406","Charlotte’s Web 2: Wilbur’s Great Adventure "
"1407","Cheech & Chong’s Hey Watch This"
"1408","Cheech & Chong’s Up in Smoke"
"1409","Cheerful Weather for the Wedding"
"1411","Chico & Rita"
"1414","Chris Porter: Ugly and Angry "
"1425","Clockstoppers"
"1427","Closure "
"1428","Clueless"
"1430","Coach Carter"
"1433","Color Crew"
"1436","Coming to America"
"1437","Compliance"
"1438","Conan the Barbarian"
"1440","Conspiracy Theory"
"1441","Cop Land"
"1442","Coriolanus"
"1443","Corky Romano"
"1445","Cosmopolis"
"1447","Coyote Ugly"
"1448","Cracks"
"1450","Crafting a Nation"
"1451","Craigslist Joe"
"1452","Crank"
"1457","Crocodile Dundee 2"
"1458","Crooked Arrows"
"1464","Crystal Fairy & the Magical Cactus"
"1469","Curious George 2: Follow That Monkey!"
"1470","Curious George: A Halloween Boo Fest"
"1471","Curious George: Swings Into Spring"
"1473","Daddy’s Home"
"1474","Daddy’s Little Girls"
"1475","Damien: Omen II"
"1482","Day of the Kamikaze"
"1483","Day of the Kamikaze"
"1484","Daylight"
"1485","Days of Heaven"
"1487","Dazed and Confused"
"1491","Death Beach"
"1492","Death Beach"
"1495","Death Warrant"
"1497","Defending Your Life"
"1499","Deliverance"
"1500","Delta Farce"
"1502","Detropia"
"1503","Devil"
"1506","Dirty Mary, Crazy Larry"
"1507","Disney Animation Collection: Vol. 5: Wind in the Willows"
"1508","Do Not Disturb "
"1514","Doomsdays"
"1516","Double Jeopardy"
"1517","Down and Out in Beverly Hills"
"1519","Dowry Law"
"1520","Dr. Dolittle 3"
"1522","Dragon Guardians"
"1523","Dragonwolf"
"1524","Drive Me Crazy"
"1525","Drones"
"1528","Dude, Where’s My Car?"
"1529","Dumbo"
"1532","Echelon Conspiracy"
"1533","Eight Crazy Nights"
"1535","Elaine Stritch: Shoot Me"
"1538","Electrick Children"
"1539","Elegy"
"1541","Elizabeth "
"1545","Emily Bronte’s Wuthering Heights"
"1546","Empire State"
"1548","Entertainment"
"1549","Equilibrium"
"1550","Erasing Hate "
"1553","Escape to Witch Mountain"
"1554","Estranged"
